userId|typeId|rating|itemId|cityId
1|1|4|1|1
1|1|5|2|1
1|2|5|3|1
1|1|4|4|2
1|3|5|5|3
1|1|4|6|3
1|1|5|7|4
1|1|4|8|5
1|1|4|9|6
1|1|4|10|7
1|1|4|11|8
1|1|4|12|8
2|3|1|13|9
2|3|5|14|10
2|3|5|15|10
2|3|3|16|9
2|3|5|17|9
2|3|5|18|8
2|1|4|19|8
2|1|4|20|11
2|1|4|21|12
2|1|4|22|8
2|3|5|23|13
2|1|4|24|13
2|1|5|25|14
2|1|3|26|8
2|1|5|27|15
2|1|5|28|16
2|1|4|29|17
2|1|4|30|18
3|1|4|31|19
3|1|3|32|20
3|1|5|33|21
3|1|4|34|22
3|1|4|35|23
3|1|3|36|24
3|1|3|37|25
3|1|5|38|26
3|1|5|39|27
3|1|4|40|28
3|1|4|41|29
3|1|4|42|30
3|1|5|43|31
3|1|3|44|32
3|1|5|45|33
3|1|3|46|34
3|1|5|47|35
3|1|5|48|36
3|1|4|49|37
3|1|2|50|38
3|1|5|51|39
3|1|4|52|40
3|1|2|53|41
3|1|5|54|42
3|1|5|55|43
3|1|4|56|34
3|1|2|57|44
3|1|5|58|11
3|1|5|59|42
3|3|3|60|45
3|1|5|61|46
3|1|4|62|47
3|1|3|63|34
3|1|5|64|48
3|1|5|65|49
3|1|4|66|50
3|1|2|67|51
3|1|5|68|52
3|1|5|69|34
3|1|3|70|38
3|1|5|71|53
3|1|3|72|54
3|1|5|73|54
3|1|2|74|55
3|1|5|75|56
3|1|3|76|57
3|1|4|77|58
3|1|5|78|59
3|1|3|79|27
3|1|5|80|60
3|1|5|81|61
3|1|3|82|62
3|1|4|83|63
4|1|5|84|64
4|1|5|85|65
4|1|4|86|66
4|1|4|87|8
4|2|5|88|67
4|1|5|89|67
4|1|5|90|68
4|1|3|91|69
4|3|4|92|70
4|1|5|93|71
4|1|1|94|45
5|3|5|95|72
5|2|5|96|73
5|3|5|97|74
5|1|5|98|75
5|1|5|99|8
5|1|4|100|53
5|1|5|101|76
5|1|5|102|77
6|2|5|103|37
6|2|4|104|78
6|1|4|105|79
6|1|4|106|80
6|3|4|107|81
6|3|5|108|81
6|1|4|109|82
6|1|4|110|34
6|1|3|111|83
6|1|4|112|84
6|1|4|113|85
7|3|3|114|86
7|2|4|115|86
7|3|4|116|86
7|3|4|117|86
7|2|4|118|87
7|2|4|119|87
7|3|4|120|3
7|2|3|121|3
7|3|4|122|3
7|1|5|123|88
7|1|4|124|89
7|1|4|125|90
7|2|5|126|91
7|2|4|127|91
7|1|5|128|91
7|3|5|129|92
7|3|4|130|93
7|3|5|131|86
7|3|5|132|94
7|3|1|133|95
7|1|1|134|96
7|3|4|135|95
7|3|4|136|95
7|1|4|137|97
7|1|4|138|98
7|1|2|139|99
7|1|5|140|99
7|1|2|141|100
7|1|2|142|101
7|1|4|143|102
7|1|2|144|103
7|1|5|145|104
8|1|1|146|105
8|1|5|147|106
8|1|5|148|107
8|3|1|149|108
8|1|1|150|109
8|1|5|151|110
8|3|5|152|111
8|1|5|153|11
8|3|1|154|112
8|3|1|155|109
8|1|5|156|113
8|1|4|157|114
8|1|5|158|115
8|3|3|159|116
8|3|2|160|114
8|3|4|161|117
8|3|2|162|118
8|3|4|163|118
8|1|5|164|118
8|1|2|165|34
9|3|5|166|119
9|1|2|167|120
9|3|5|168|121
9|2|5|169|122
9|3|5|170|122
9|3|4|171|122
9|3|4|172|122
9|3|5|173|8
9|3|5|174|8
9|1|4|175|123
9|3|5|176|123
9|3|5|177|8
9|3|4|178|8
9|2|2|179|8
9|2|2|180|8
9|3|3|181|8
9|3|2|182|8
9|1|5|183|124
9|3|5|184|8
9|3|5|185|8
9|3|5|186|8
9|3|2|187|8
9|3|3|188|8
